단어,설명
옵션 (option) ,"거래당사자들이 미리 정한 가격(행사가격, strike price)으로 장래의 특정시점 또는 그 이전에 일정자산을 팔거나 살 수 있는 권리를 매매하는 계약으로 매입권리가 부여되는 콜옵션(call option)과 매도권리가 부여되는 (put option)으로 나누어 진다. 매입 또는 매도할 수 있는 권리를 보유하게 되는 옵션매입자는 시장가격의 변동상황에 따라 자기에게 유리한 경우 옵션을 행사하며, 불리한 경우에는 포기할 수 있는데 옵션매입자는 이와 같은 선택권에 대한 대가로 거래상대방인 옵션매도자에게 프리미엄을 지급하며 옵션매도자는 프레미엄을 받는 대신 옵션매입자의 옵션 행사에 따라 발생한 자산의 의무를 이행할 의무를 부담한다. 옵션거래의 손익은 행사가격, 현재가격 및 프리미엄에 의해 결정된다. "
옵션매도자 (option seller) ,"옵션거래에서 콜옵션이나 풋옵션을 매도하는자를 말한다. 옵션매입자가 권리행사를 하게 되면 이에 응하여야 한다. 그러므로 장내시장에서는 매도자로 하여금 보증금을 예치하도록 하고 있다. 옵션청산회사는 옵션매도자로부터 보증금을 적립 받아 옵션매도자의 의무이행을 보증한다. 매도자는 옵션거래에서 피동적인 위치에 있게 되는데, 이들은 매입자가 지급하는 옵션수수료(option premium)를 취득하기 위하여 옵션을 매도하는 경우가 많다. 매입자가 옵션행사를 하지 않는 경우에는 옵션수수료가 100% 옵션매도자의 이익이 되기 때문이다. "
옵션매매자 (option seller and buyer) ,"옵션거래의 당사자에는 매입자(buyer)와 매도자(seller)가 있다. 옵션매입자는 옵션을 이용하여 리스크를 커버하거나 이득을 얻으려는 자를 가리키고, 매도자는 이와는 달리 옵션수수료 취득을 목적으로 하는 자를 가리킨다. 옵션매도자는 옵션매입자가 옵션의 행사를 포기하면 아무런 행동없이 수수료만 취득할 수 있으므로 수수료 취득을 목적으로 매입자의 결정에 따라 행동하고자 원하는 자이다. 그러므로 매도자의 의무이행을 확보하기 위하여 거래소 거래에서는 옵션매도자가 보증금을 예치하도록 하고 있다. 옵션매입자에는 콜옵션매입자와 풋옵션매입자가 있다. 콜옵션매입자에는 매입옵션을 만기 또는 그전에 행사할 수 있는 자이며, 풋옵션매입자는 풋옵션을 만기 또는 그전에 행사할 수 있는 자이다. 옵션매도자에도 콜옵션매입자와 풋옵션매입자가 있는데, 전자는 콜옵션을 매입자가 행사하는 경우에 이에 응하는 자를 가리키며 후자는 매입자가 풋옵션을 행사하는 경우 이에 응하는 자를 가리킨다. "
옵션매입자 (option buyer) ,옵션거래에서 콜옵션이나 풋옵션을 매입하는 자를 가리킨다. 리스크를 커버하기 위하여 옵션을 이용하는 자가 매입자가 된다. 가격상승에 대비하는 자는 콜 옵션(매입옵션)을 매입하고 가격하락에 대비하는 자는 풋 옵션(매도옵션)을 매입하게 된다. 
완전매각/진정한 양도 (True Sale) ,유동화대상 자산을 SPC에 연대보증 등의 조건 없이 매각하는 법률적으로 하자가 없는 양도를 말한다. 이로써 ABS를 발행하는 기관은 연대보증 등의 부담 없이 유동화 과정을 시작할 수 있게 된다. 
외국은행채권 ,수탁채권 중 외국은행 국내지점으로부터 채권양도 방식으로 회수 위임된 채권을 말한다. 
외국인 직접투자 (FDI: Foreign Direct Investment) ,"외국인 직접투자는 다른 나라에 있는 기업에 대한 경영참여 등과 같이 영속적인 이익을 취득하기 위하여 행하는 자본이동이다. 단기적인 투자이익을 목적으로 한 주식,채권,파생금융상품 등의 매입을 위한 자본이동 등은 해당되지 않는다. 외국인투자촉진법령상 외국인 직접투자는 외국인이 국내 기업의 의결권이 있는 주식 총수의 10% 이상을 소유하는 것(10% 미만인 경우에도 임원파견계약 등을 통하여 경영권에 실질적 영향력을 행사할 수 있는 경우도 해당)과 외국인 투자기업이 해외 모기업 또는 당해 모기업과 일정한 출자관계에 있는 기업으로부터 도입하는 5년 이상의 차관으로 정의된다."
외국환평형기금채권(외평채) (foreign exchange stabilization bond) ,"국내통화의 대외가치 안정과 투기적 외화의 유출입에 따른 악영향을 막기 위해 정부가 조성한 자금을 외국환평형기금이라고 하고, 이 기금의 재원조달을 위해 정부가 지급보증형식으로 발행하는 채권을 외국환평형기금채권이라 하는데, 줄여서 외평채라고 한다. 원화와 외화표시 두 가지로 발행할 수 있는데 우리나라는 그동안 원화표시로만 발행되었으나 국제통화기금(IMF: International Monetary Fund) 구제금융 지원 이후 부족한 외화조달을 위해 외화표시 증권을 발행하였다. 해외시장에서 발행할 경우 기준금리에 발행국가의 신용도와 유통물량을 고려하여 가산금리가 붙는다. 만기나 금리 등 발행조건은 통화안정증권과 같고 재정경제부장관이 건의하여 국회 동의를 거쳐 발행되며 한국은행이 발행과 운용사무를 맡고 있다. "
"외부금융 (外部金融, external finance) ",투자사업 등에 필요한 자금을 외부에서 차입하여 조달하는 것을 가리킨다. 외부금융에는 간접금융과 직접금융이 있다. 전자는 은행에서 차입하는 것이며 후자는 증권시장에서 채권 또는 어음을 발행하여 자금을 조달하는 것이다. 
"외상매출금 (外上賣出金, accounts receivable) ","일반적 상거래에서 발생하는 외상대금의 미회수대금으로 임시적인 거래에서 발생하는 채권은 이에 포함되지 않는다. 채권으로서의 외상매출금의 특징은 대차증서(貸借證書)가 없는 장부상의 채권이라는 점, 그 지급기일은 특약이 없는 한 통상적으로 관습에 의한다는 점, 원칙적으로 이자가 붙지 않는다는 점이다. 이와 같이 외상매출금은 강제력이 없기 때문에 회수가 지연되는 일이 많다. 우리나라의 기업회계 원칙상 일방적인 상거래 채권과 기타의 채권은 구분하여 표시하여야 하며 또한 채권에 대한 대손충당금을 공제하는 형식으로 표시할 것을 규정하고 있다. "
외화표시채권 ,"외화표시채권은 정부나 은행 혹은 기업이 발행한 채권이다. 외화표시채권의 종류는 정부가 발행한 외평채, 산업은행, 장기신용은행 등 금융기관이 발행한 채권, 포철, 한전, 삼성전자 등 기업들이 발행한 채권들이 있다. 외화표시채권은 정부나 신용도가 높은 기업이 발행한 것인 만큼 떼일 염려도 없다. 원리금과 이자가 모두 외화로 지급되므로 환율에 따라 환차익 또는 환차손을 얻을 수도 있다. 또한 1998년 현재 이자소득세(24.2%)와 법인세(28%)가 면제된다는 장점이 있다. 다만 농특세와 개인은 이자소득의 2%, 법인은 4%를 내야 한다. "
외화후순위채권 ,"외화채권중 채권발행기업이 도산할 경우 사채의 변제순위에 있어 담보부사채, 무담보부사채, 기타 은행대출채권 등의 일반 사채보다 뒤지나 우선주나 보통주보다는 우선하는 채권을 말한다. "
"외환보유액 (外換保有額, foreign exchange holding) ","한 나라의 통화당국이 대외지급을 위하여 보유하고 있는 외화자산을 가리킨다. 외화보유액 산출은 국가마다 다르다. 개발도상국은 통화당국 뿐만 아니라 일반 금융기관이 보유하고 있는 외화자산을 외화보유액으로 간주한다. 그러나 선진국은 외화자산에서 부채를 차감한 NFA(net foreign asset)를 외환보유액으로 간주하는데 우리나라도 이를 채택하고 있다. 외환보유액이란 국제수지의 일시적 역조를 보전하기 위한 준비역할을 하는 것이므로, 그 보유가 적정액인지의 여부에 대한 측정은 대외적 측면에서 일반적으로 해당국의 연간 경상수지액을 기준으로 결정되며, 대내적 측면에서는 국내신용에 따른 해외부문 통화량과 관련해 조정된다. "
"외환시장 (外換市場, foreign exchange market) ","외환이 매매되는 구체적 또는 추상적 시장을 외환시장이라 한다. 광의의 외환시장이란 외환거래의 두 분야인 대고객거래와 은행간 거래의 쌍방을 포함해서 외환거래가 이루어지는 장소 일반을 의미하고, 협의의 외환시장이란 단지 은행간거래가 이루어지는 장소를 말한다. 외환시장은 공급측면에서 보면 대금회수를 용이하고 신속하게 할 수 있도록 해주며, 수요측면에서 보면 구매력을 용이하고 신속하게 취득할 수 있도록 한다. 외환시장의 참가자는 비은행기업체 또는 개인, 외국환은행, 중개인과 중앙은행이 있다. 가장 중요한 당사자는 비은행기업체와 개인, 그리고 외국환은행이다. 외환이 신속하게 매매되도록 편의를 제공하는자를 중개인(broker)이라고 한다. 중앙은행은 비은행기업체와 개인 및 중개인과는 거래를 할 수 없고 외국환은행과만 거래를 할 수 있다. 외환시장에는 장외시장(over-the-counter market)과 장내시장(face-to-face market)이 있는데, 장외시장은 구체적인 거래소를 이용하지 않고 텔렉스나 전화로 거래하는 시장을 말하고, 장내시장은 구체적인 장소에서 거래가 형성되는 시장을 말한다. "
용도폐지재산,"도로, 하천 등 공공용 재산이 사실상 공공용으로 사용되지 않거나 공용재산 또는 기업용 재산이 당해 행정목적을 위하여 사용할 필요가 없을 때 해당 관리청이 그 용도를 폐지하고 잡종재산으로 전환하는 것을 말한다."
용역회사 (Servicer) ,자산보유자(SPC) 또는 자산관리회사(AMC)로부터 자산관리 관련 특정한 부분의 용역을 수행하는 회사이다. 
우리사주제도 (우리社株制度) ,"기업이 자사 종업원에게 특별한 조건과 방법으로 자사 주식을 분양/소유하게 하는 제도이다. 제1차 세계대전 후 산업민주화의 풍조 속에서 생긴 제도로 종업원주식매입제도 또는 종업원지주제라고도 한다. 저가격,배당우선,공로주,의결권 제한,양도 제한 등의 방법이 있다. 종업원이 증권시장을 통하여 임의로 자사 주식을 취득하는 것은 종업원지주제라고 하지 않는다. 이 제도의 목적은 종업원에 대한 근검저축의 장려, 공로에 대한 보수, 자사에 대한 귀속의식 고취 및 일체감 조성, 자본조달의 새로운 원천 개발 등에 있다. 그러나 자본조달의 원천개발은 부차적인 목적이고, 주목적은 소유 참여나 성과 참여로써 근로의욕을 높이고 노사관계의 안정을 꾀하는 데 있다. 조합을 통하여 매입한 주식의 처분은 취득 후 1년 이후부터 가능하며, 개인별 배정한도는 연간 급여수준에 따르고, 우리사주조합과 조합원에 우선 매각한다. 종업원은 우리사주조합을 통하여 자사주를 구입하는 경우 세제상의 혜택을 받을 수 있고, 주식 구입에 필요한 자금을 융자해 주는 금융상의 혜택도 활용할 수 있다. 우리사주조합을 통해 받는 주식의 경우 시세차익을 노려 금방 팔아치우는 등의 부작용을 막기 위해 개인별 배정한도,보유기간,매각대상 등에 엄격한 제한이 가해지는 것이 보통이다. "
